scale,mean,var
59670.59020525,98943.45892213,3560579335.44237471
28733.13306135,69821.49787220,825592935.52108800
24123.33632498,66306.36107592,581935355.44786215
43171.93168011,58820.87986876,1863815684.99196148
20401.47122821,50240.09203132,416220028.27567875
27677.04635104,49565.98005393,766018894.71746862
62932.36890975,68990.07994672,3960483056.59260702
24197.88906635,64619.77100997,585537835.26734090
19468.32577236,48847.63713738,379015708.37887144
41089.86846048,71123.24292629,1688377290.09990239
35515.77461318,65252.45047591,1261370246.37392592
24254.81035229,64758.23084170,588295825.22572589
41182.09382780,58396.79228795,1695964852.04183269
19560.38366070,41370.28398792,382608608.95375037
15497.88557137,31140.64048338,240184457.18312827
43199.55576656,58803.75869798,1866201618.42794180
23304.74427436,61141.13712114,543111105.69340956
28357.78126484,43947.76984050,804163758.26463056
47002.51963605,70305.25647273,2209236852.13741350
15490.14777967,31130.18848065,239944678.23605266
29065.63829921,47665.58707728,844811329.74025881
38191.82874228,44009.19682942,1458615782.67939734
84683.97349296,80159.12120326,7171375366.55713749
35352.52397193,64991.75726862,1249800951.18618226
41559.69072265,55114.88516389,1727207892.96224785
106558.71907787,97494.46428223,11354760611.51724815
84754.68446535,80236.77282916,7183356538.82091522
62924.65907615,69027.80388526,3959512719.84929132
23986.67510341,61250.96806679,575360582.51670027
32121.89401772,51728.27226066,1031816075.28536046
46846.46675549,70271.54253971,2194591447.47314882
24121.64954549,66225.26959686,581853976.79549217
23553.90889695,59263.30653283,554786624.32587743
38004.99307473,50732.42396777,1444379498.61039758
32238.77523836,51947.56095897,1039338628.86975205
19543.80368745,41409.38670695,381960262.57358325
38950.12892353,67430.91092486,1517112543.15953112
83514.51638703,85317.24175681,6974674447.35886765
106682.07800996,97652.19650456,11381065768.52366829
41004.55912334,71070.19663451,1681373868.89935303
35811.25796045,58118.93551636,1282446196.71023750
83633.49600930,85465.18416009,6994561654.73771191
38313.88109474,44211.51889030,1467953484.54168153
27667.29904972,49688.87434623,765479436.70649660
28909.44556916,69054.65672612,835756043.11599076
37979.64938032,50709.33521749,1442453767.05201483
28388.90099052,44083.99314557,805929699.44935369
28646.64326396,69948.12286002,820630170.29286718
44984.66328112,74544.60731573,2023619930.51578259
28896.36230787,68915.34519053,834999754.62775660
24005.95860499,61422.52545236,576286048.54464769
41223.29046772,58351.06435370,1699359676.98584628
17112.09523427,41187.67407335,292823803.30672956
35713.22878054,57931.18779846,1275434709.93090940
41519.23314877,55072.48627489,1723846721.26219797
19470.54671715,48794.19627717,379102189.46490604
17089.66473283,41270.70938505,292056640.68051237
38863.03978378,67387.60357990,1510335861.23566771
29083.53634415,47785.71243868,845852086.28160477
20352.23395349,50320.10830653,414213426.89741093
45040.03009427,74531.08605399,2028604310.89279580
23547.99384882,59178.10577267,554508014.30411315
23249.54156796,61267.98759055,540541183.12052977
59732.81150657,98994.13286554,3568008770.47923756
24003.50737338,35132.19468538,576168366.22409415
10647.66619721,21660.14839359,113372795.44723265
9839.90550617,19600.46808303,96823740.37041226
18201.16760264,22546.45590098,331282502.09953463
9408.88865845,17819.85160641,88527185.78715973
7257.71011670,15481.26894715,52674356.13807567
11361.66054263,16185.35314947,129087330.28593387
9130.91450156,20331.91459572,83373599.63481326
7387.94161124,15126.90533736,54581681.25114983
7726.43409897,18427.55715817,59697783.88568972
5515.65522820,14256.51619400,30422452.59635796
7111.07947179,18493.39031284,50567451.25411403
15156.90734817,19296.12321736,229731840.36096850
7802.04318457,12193.58873404,60871877.85392539
6695.84545478,8879.51041159,44834346.35436482
14885.50529795,18449.84975473,221578267.97531489
8667.96289825,17579.44193224,75133580.80544262
5056.01896288,10354.90728649,25563327.75302589
6611.05313899,13512.55634604,43706023.60660180
6081.01540250,8791.10908618,36978748.32549410
6054.13107342,11811.73933665,36652503.05416732
5911.15777197,9313.35831465,34941786.20510631
11234.15936273,13403.75298054,126206336.58713271
6633.76148084,15034.74226034,44006791.38463096
9669.25156866,13669.11840951,93494425.89804161
20460.23159106,20707.47259851,418621076.75992388
17173.48405347,17125.25777215,294928554.53476042
17075.43674512,17486.73608810,291570540.03657860
7321.46483837,17534.90472014,53603847.37951302
6971.16244696,13281.72653737,48597105.86193661
8440.96129439,15333.29230419,71249827.57333070
7115.38049694,18468.12497158,50628639.61622460
7522.69927822,17124.62641718,56591004.43055586
5456.96164549,11515.20751714,29778430.40029821
4066.80624515,9534.27661372,16538913.03555972
7144.84831505,10671.53691973,51048857.44507653
8768.90408705,18751.78237989,76893678.88780019
13249.28309659,18839.30253711,175543502.57347986
14883.90461895,17726.37556443,221530616.70607549
7174.48084758,15803.07663321,51473175.43229167
8078.34025030,17381.09372056,65259581.19964299
16133.27366096,21500.49014066,260282519.01935428
6861.09569338,11276.28424780,47074634.11366075
6644.27739297,15091.46334016,44146422.07472901
